	Kingdom	Phylum	Class	Order	Family	Genus	Species	Annotated
ASV180	Bacteria	Firmicutes	Clostridia	Thermincolales	Thermincolaceae	Thermincola		Thermincola
ASV181	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Peptostreptococcus	russellii	Peptostreptococcus
ASV182	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Snodgrassella		Snodgrassella
ASV183	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia		Leptotrichia
ASV184	Bacteria	Armatimonadota	Armatimonadia	Armatimonadales	Order_Armatimonadales	Order_Armatimonadales	Order_Armatimonadales	Order_Armatimonadales
ASV185	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Citricoccus		Citricoccus
ASV186	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Leucobacter		Leucobacter
ASV187	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Garicola		Garicola
ASV188	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium		Mycobacterium
ASV189	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Family_Rhizobiaceae	Family_Rhizobiaceae	Family_Rhizobiaceae
ASV190	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Tepidimonas		Tepidimonas
ASV191	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Orbaceae	Family_Orbaceae	Family_Orbaceae	Family_Orbaceae
ASV192	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Family_Bacillaceae	Family_Bacillaceae	Family_Bacillaceae
ASV193	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria	Family_Mitochondria	Family_Mitochondria
ASV194	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Order_Chloroplast	Order_Chloroplast	Order_Chloroplast	Order_Chloroplast
ASV195	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Brevibacteriaceae	Brevibacterium	luteolum	Brevibacterium
ASV196	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Dietziaceae	Dietzia		Dietzia
ASV197	Bacteria	Actinobacteriota	Actinobacteria	Kineosporiales	Kineosporiaceae	Kineococcus		Kineococcus
ASV198	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas		Roseomonas
ASV199	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium		Novosphingobium
ASV200	Bacteria	Proteobacteria	Gammaproteobacteria	Class_Gammaproteobacteria	Class_Gammaproteobacteria	Class_Gammaproteobacteria	Class_Gammaproteobacteria	Class_Gammaproteobacteria
ASV201	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Micrococcus	lylae	Micrococcus
ASV202	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Patulibacter		Patulibacter
ASV203	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	mucilaginosa	Rothia
ASV204	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Porphyrobacter		Porphyrobacter
ASV205	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Candidatus Aquiluna		Candidatus Aquiluna
ASV206	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Family_Mitochondria	Family_Mitochondria	Family_Mitochondria
ASV207	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Romboutsia		Romboutsia
ASV208	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	lwoffii	Acinetobacter
